No,Company,Symbol,Weight,Price,Chg,% Chg
89,Progressive Corporation,PGR,0.2%,219.09,-1.5,-0.7%
90,Deere & Company,DE,0.2%,472.75999999999999,3.3399999999999999,-0.7%
91,"Robinhood Markets, Inc.",HOOD,0.2%,139.78999999999999,5.46,-4.1%
92,Constellation Energy,CEG,0.2%,389.19,23.390000000000001,-6.4%
93,Blackstone Inc.,BX,0.2%,154.59999999999999,-0.38,-0.2%
94,Medtronic,MDT,0.2%,93.670000000000002,-0.54000000000000004,-0.6%
95,Welltower,WELL,0.2%,177.94,1.8799999999999999,-1.1%
96,Prologis,PLD,0.2%,126.43000000000001,0.66000000000000003,-0.5%
97,Analog Devices,ADI,0.2%,238.00999999999999,-5.2800000000000002,-2.2%
98,Automatic Data Processing,ADP,0.2%,280.94,-0.60999999999999999,-0.2%
99,Lockheed Martin,LMT,0.2%,485.41000000000003,-2.6400000000000001,-0.5%
100,Chubb Limited,CB,0.2%,281.94,-1,-0.4%
101,DoorDash,DASH,0.2%,258.14999999999998,3.5600000000000001,-1.4%
102,ConocoPhillips,COP,0.2%,88.030000000000001,-2.0499999999999998,-2.3%
103,Altria,MO,0.2%,64.670000000000002,0.10000000000000001,-0.1%
104,Comcast,CMCSA,0.2%,29.280000000000001,-0.02000,-0.1%
105,Vertex Pharmaceuticals,VRTX,0.2%,421.38999999999999,-1.24,-0.3%
106,KKR,KKR,0.2%,121.23999999999999,0.28000000000000003,-0.2%
107,Dell Technologies,DELL,0.2%,158.63999999999999,4.4100000000000001,-2.9%
108,Southern Company,SO,0.2%,95.879999999999995,-0.27000000000000002,-0.3%
109,HCA Healthcare,HCA,0.2%,447.04000000000002,6.8799999999999999,-1.6%
110,CVS Health,CVS,0.2%,81.930000000000007,0.85999999999999999,-1.1%
111,"Nike, Inc.",NKE,0.2%,69.109999999999999,-0.56999999999999995,-0.8%
112,McKesson Corporation,MCK,0.2%,801.66999999999996,8.6999999999999993,-1.1%
113,Duke Energy,DUK,0.2%,127.37,0.11,-0.1%
114,Starbucks,SBUX,0.2%,86.090000000000003,0.65000000000000002,-0.8%
115,Parker Hannifin,PH,0.2%,772,5.7999999999999998,-0.8%
116,CME Group,CME,0.2%,269.54000000000002,0.64000000000000001,-0.2%
